src,tt
salebillvouch,ods_jx_salebillvouch
dispatchlist,ods_jx_dispatchlist
a_user_gl_accvouchid,ods_jx_a_user_gl_accvouchid
customer,ods_jx_customer
bas_part,ods_jx_bas_part
salebillvouchs,ods_jx_salebillvouchs
vendor,ods_jx_vendor
sa_sndetail_disp,ods_jx_sa_sndetail_disp
ia_subsidiary,ods_jx_ia_subsidiary
rdrecords10,ods_jx_rdrecords10
cu_bomresultyq,ods_jx_cu_bomresultyq
warehouse,ods_jx_warehouse
person,ods_jx_person
currentstock,ods_jx_currentstock
st_sndetail_proin,ods_jx_st_sndetail_proin
bom_parent,ods_jx_bom_parent
rdrecord10,ods_jx_rdrecord10
inventory,ods_jx_inventory
dispatchlists,ods_jx_dispatchlists
department,ods_jx_department
bom_bom,ods_jx_bom_bom
cu_bomresult,ods_jx_cu_bomresult
inventoryclass,ods_jx_inventoryclass
st_snstate,ods_jx_st_snstate
