src,tt
rdrecord10,ods_qz_rdrecord10
sa_sndetail_disp,ods_qz_sa_sndetail_disp
cu_bomresultyq,ods_qz_cu_bomresultyq
person,ods_qz_person
st_snstate,ods_qz_st_snstate
dispatchlists,ods_qz_dispatchlists
inventoryclass,ods_qz_inventoryclass
st_sndetail_proin,ods_qz_st_sndetail_proin
ia_subsidiary,ods_qz_ia_subsidiary
inventory,ods_qz_inventory
rdrecords10,ods_qz_rdrecords10
a_user_gl_accvouchid,ods_qz_a_user_gl_accvouchid
customer,ods_qz_customer
bom_parent,ods_qz_bom_parent
salebillvouchs,ods_qz_salebillvouchs
bas_part,ods_qz_bas_part
salebillvouch,ods_qz_salebillvouch
bom_bom,ods_qz_bom_bom
department,ods_qz_department
dispatchlist,ods_qz_dispatchlist
warehouse,ods_qz_warehouse
vendor,ods_qz_vendor
currentstock,ods_qz_currentstock
cu_bomresult,ods_qz_cu_bomresult
