src,tt
QRE2012.BOM,ods_sage_bom
QRE2012.BOMD,ods_sage_bomd
QRE2012.BPARTNER,ods_sage_bpartner
QRE2012.BPCUSTOMER,ods_sage_bpcustomer
QRE2012.BPSUPPLIER,ods_sage_bpsupplier
QRE2012.ITMMASTER,ods_sage_itmmaster
QRE2012.MFGHEAD,ods_sage_mfghead
QRE2012.MFGHEADTRK,ods_sage_mfgheadtrk
QRE2012.MFGITM,ods_sage_mfgitm
QRE2012.MFGITMTRK,ods_sage_mfgitmtrk
QRE2012.MFGMAT,ods_sage_mfgmat
QRE2012.MFGMATTRK,ods_sage_mfgmattrk
QRE2012.MFGOPE,ods_sage_mfgope
QRE2012.MFGOPETRK,ods_sage_mfgopetrk
QRE2012.PORDER,ods_sage_porder
QRE2012.PORDERP,ods_sage_porderp
QRE2012.PORDERQ,ods_sage_porderq
QRE2012.PRECEIPTD,ods_sage_preceiptd
QRE2012.SALESREP,ods_sage_salesrep
QRE2012.SCHGD,ods_sage_schgd
QRE2012.SCHGH,ods_sage_schgh
QRE2012.SDELIVERY,ods_sage_sdelivery
QRE2012.SDELIVERYD,ods_sage_sdeliveryd
QRE2012.SORDER,ods_sage_sorder
QRE2012.SORDERP,ods_sage_sorderp
QRE2012.SORDERQ,ods_sage_sorderq
QRE2012.STOCK,ods_sage_stock
QRE2012.STOJOU,ods_sage_stojou
QRE2012.XCOSTRECOV,ods_sage_xcostrecov
QRE2012.XSTOJOU,ods_sage_xstojou
QRE2012.YCTSOH,ods_sage_yctsoh
